codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
336.162.001;Escuadra de alineacion para contramarco de 29 y 60 mm;Escuadra de alineacion para contramarco de;;;;60;0.0;0.0
206.296.001;Tapa desague con logo Blanco Pres. 500 u.;Tapa desague con logo Blanco Pres.;;;;;0.0;0.0
206.296.003;Tapa desague con logo Marron Pres. 500 u.;Tapa desague con logo Marron Pres.;;;;;0.0;0.0
206.296.005;Tapa desague con logo Negro Pres. 500 u.;Tapa desague con logo Negro Pres.;;;;;0.0;0.0
261.582.093;Tapa desague Antracita Pres. 500 u.;Tapa desague Antracita Pres.;;;;;0.0;0.0
253.044.003;Tapon remate diametro 13 mm Blanco Pres. 1000 u.;Tapon remate diametro;;mm Blanco;mm Blanco;13;0.0;0.0
253.044.002;Tapon remate diametro 13 mm Marron Pres. 1000 u.;Tapon remate diametro;;mm Marron;mm Marron;13;0.0;0.0
261.487.002;Taco de acristalar 100x30/1 mm Blanco Pres. 1000 u.;Taco de acristalar;;mm Blanco;mm Blanco;1;0.0;0.0
261.497.002;Taco de acristalar 100x30/2 mm Celeste Pres. 1000 u.;Taco de acristalar;;mm Celeste;mm Celeste;2;0.0;0.0
261.507.002;Taco de acristalar 100x30/3 mm Rojo Pres. 1000 u.;Taco de acristalar;;mm Rojo;mm Rojo;3;0.0;0.0
261.517.002;Taco de acristalar 100x30/4 mm Amarillo Pres. 1000 u.;Taco de acristalar;;mm Amarillo;mm Amarillo;4;0.0;0.0
261.527.002;Taco de acristalar 100x30/5 mm Verde Pres. 1000 u.;Taco de acristalar;;mm Verde;mm Verde;5;0.0;0.0
247.903.001;Grampa para fijacion de marcos ED-60 y EDS Pres. 20 u.;Grampa para fijacion de marcos ED-;;y EDS;y EDS;;0.0;0.0
252.280.001;Emulsion limpiadora Pres. 20 u.;Emulsion limpiadora Pres.;;;;;0.0;0.0
252.220.001;Limpiador ventanas PVC Pres. 10 u.;Limpiador ventanas PVC Pres.;;;;;0.0;0.0
251.760.001;Pegamento juntas APTK-EPDM Pres. 10 u.;Pegamento juntas APTK-EPDM Pres.;;;;;0.0;0.0
222.660.001;Emulsion Limpiadora para perfiles foliados Pres. 20 u.;Emulsion Limpiadora para perfiles foliados Pres.;;;;;0.0;0.0
251.670.002;Pegamento perfiles PVC Transparente Pres. 30 u.;Pegamento perfiles PVC Transparente Pres.;;;;;0.0;0.0
247.241.002;Marcador reparador Roble Pres. 1 u.;Marcador reparador Roble Pres.;;;;;0.0;0.0
260.488.002;Marcador reparador Antracita Liso 1 u.;Marcador reparador Antracita Liso;;;;;0.0;0.0
252.224.001;Marcador reparador Black Brown Pres. 1 u.;Marcador reparador Black Brown Pres.;;;;;0.0;0.0
223.900.001;Marcador reparador Nogal 1 u.;Marcador reparador Nogal;;;;;0.0;0.0
207.673.001;Marcador reparador Winchester Pres. 1 u.;Marcador reparador Winchester Pres.;;;;;0.0;0.0
321.373.001;Marcador reparador Monument Oak Pres. 1 u.;Marcador reparador Monument Oak Pres.;;;;;0.0;0.0
330.042.001;Marcador reparador Negro Mate Pres. 1 u.;Marcador reparador Negro Mate Pres.;;;;;0.0;0.0
330.065.001;Marcador reparador Turner Oak Malt Pres. 1 u.;Marcador reparador Turner Oak Malt Pres.;;;;;0.0;0.0
330.063.001;Marcador reparador Sheffield Oak Alpine Pres. 1 u.;Marcador reparador Sheffield Oak Alpine Pres.;;;;;0.0;0.0
322.379.001;Marcador reparador Habano Pres. 1 u.;Marcador reparador Habano Pres.;;;;;0.0;0.0
206.920.001;Marcador reparador Titanium Pres. 1 u.;Marcador reparador Titanium Pres.;;;;;0.0;0.0
330047,001;Marcador reparador Antracita M  Pres. 1 u.;Marcador reparador Antracita M  Pres.;;;;;0.0;0.0
336516,001;Marcador reparador Quartz Pres. 1 u.;Marcador reparador Quartz Pres.;;;;;0.0;0.0
362477,001;Marcador reparador Nutmeg Pres. 1 u.;Marcador reparador Nutmeg Pres.;;;;;0.0;0.0
362478,001;Marcador reparador Black Smoke Pres. 1 u.;Marcador reparador Black Smoke Pres.;;;;;0.0;0.0
500.515.100;Marco 72 Prestige Design MD 70  Blanco Pres 5.8;Marco;;Prestige Design MD 70  Blanco;Prestige Design MD 70  Blanco;;0.0;0.0
510.515.049;Marco 72 Prestige Design MD 70  Mar-Rob/Rob Pres 5.8;Marco;;Prestige Design MD 70  Mar-Rob/Rob;Roble;;0.0;0.0
510.515.048;Marco 72 Prestige Design MD 70  Bco-Bco/Rob Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Rob;Roble;;0.0;0.0
510.515.060;Marco 72 Prestige Design MD 70  Bco-Rob/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Rob/Bco;Roble;;0.0;0.0
510.515.033;Marco 72 Prestige Design MD 70  Mar-Ant L/Ant L Pres 5.8;Marco;;Prestige Design MD 70  Mar-Ant L/Ant L;Ant L;;0.0;0.0
510.515.030;Marco 72 Prestige Design MD 70  Bco-Bco/Ant L Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Ant L;Ant L;;0.0;0.0
510.515.036;Marco 72 Prestige Design MD 70  Bco-Ant L/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Ant L/Bco;Ant L;;0.0;0.0
510.515.055;Marco 72 Prestige Design MD 70  Mar-B.Brow/B.Brow Pres 5.8;Marco;;Prestige Design MD 70  Mar-B.Brow/B.Brow;Black Brown;;0.0;0.0
510.515.054;Marco 72 Prestige Design MD 70  Bco-Bco/B.Brow Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/B.Brow;Black Brown;;0.0;0.0
510.515.053;Marco 72 Prestige Design MD 70  Bco-B.Brow/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-B.Brow/Bco;Black Brown;;0.0;0.0
510.515.046;Marco 72 Prestige Design MD 70  Mar-Nog/Nog Pres 5.8;Marco;;Prestige Design MD 70  Mar-Nog/Nog;Nogal;;0.0;0.0
510.515.047;Marco 72 Prestige Design MD 70  Bco-Bco/Nog Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Nog;Nogal;;0.0;0.0
510.515.045;Marco 72 Prestige Design MD 70  Bco-Nog/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Nog/Bco;Nogal;;0.0;0.0
510.515.043;Marco 72 Prestige Design MD 70  Mar-Win/Win Pres 5.8;Marco;;Prestige Design MD 70  Mar-Win/Win;Winchester;;0.0;0.0
510.515.044;Marco 72 Prestige Design MD 70  Bco-Bco/Win Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Win;Winchester;;0.0;0.0
510.515.042;Marco 72 Prestige Design MD 70  Bco-Win/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Win/Bco;Winchester;;0.0;0.0
510.515.026;Marco 72 Prestige Design MD 70  Mar-Mon/Mon Pres 5.8;Marco;;Prestige Design MD 70  Mar-Mon/Mon;Monument;;0.0;0.0
510.515.025;Marco 72 Prestige Design MD 70  Bco-Bco/Mon Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Mon;Monument;;0.0;0.0
510.515.024;Marco 72 Prestige Design MD 70  Bco-Mon/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Mon/Bco;Monument;;0.0;0.0
510.515.020;Marco 72 Prestige Design MD 70  Mar-Neg M./Neg M. Pres 5.8;Marco;;Prestige Design MD 70  Mar-Neg M./Neg M.;Prestige Design MD 70  Mar-Neg M./Neg M.;;0.0;0.0
510.515.015;Marco 72 Prestige Design MD 70  Bco-Bco/Neg M. Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Neg M.;Blanco;;0.0;0.0
510.515.014;Marco 72 Prestige Design MD 70  Bco-Neg M./Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Neg M./Bco;Blanco;;0.0;0.0
510.515.080;Marco 72 Prestige Design MD 70  Mar-Turn/Turn Pres 5.8;Marco;;Prestige Design MD 70  Mar-Turn/Turn;Turner;;0.0;0.0
510.515.079;Marco 72 Prestige Design MD 70  Bco-Bco/Turn Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Turn;Turner;;0.0;0.0
510.515.078;Marco 72 Prestige Design MD 70  Bco-Turn/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Turn/Bco;Turner;;0.0;0.0
510.515.076;Marco 72 Prestige Design MD 70  Bco-Sheff A./Sheff A. Pres 5.8;Marco;;Prestige Design MD 70  Bco-Sheff A./Sheff A.;Sheffield;;0.0;0.0
510.515.075;Marco 72 Prestige Design MD 70  Bco-Bco/Sheff A. Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Sheff A.;Sheffield;;0.0;0.0
510.515.074;Marco 72 Prestige Design MD 70  Bco-Sheff A./Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Sheff A./Bco;Sheffield;;0.0;0.0
510.515.072;Marco 72 Prestige Design MD 70  Mar-Hab/Hab Pres 5.8;Marco;;Prestige Design MD 70  Mar-Hab/Hab;Habano;;0.0;0.0
510.515.071;Marco 72 Prestige Design MD 70  Bco-Bco/Hab Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Hab;Habano;;0.0;0.0
510.515.070;Marco 72 Prestige Design MD 70  Bco-Hab/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Hab/Bco;Habano;;0.0;0.0
510.515.066;Marco 72 Prestige Design MD 70  Mar-Tit/Tit Pres 5.8;Marco;;Prestige Design MD 70  Mar-Tit/Tit;Titanium;;0.0;0.0
510.515.065;Marco 72 Prestige Design MD 70  Bco-Bco/Tit Pres 5.8;Marco;;Prestige Design MD 70  Bco-Bco/Tit;Titanium;;0.0;0.0
510.515.064;Marco 72 Prestige Design MD 70  Bco-Tit/Bco Pres 5.8;Marco;;Prestige Design MD 70  Bco-Tit/Bco;Titanium;;0.0;0.0
510.515.012;Marco 72 Prestige Design MD 70   Mar-Ant M/Ant Pres 5.8;Marco;;Prestige Design MD 70   Mar-Ant M/Ant;Ant M;;0.0;0.0
510.515.013;Marco 72 Prestige Design MD 70   Bco-Bco/Ant M Pres 5.8;Marco;;Prestige Design MD 70   Bco-Bco/Ant M;Ant M;;0.0;0.0
510.515.021;Marco 72 Prestige Design MD 70   Bco-Ant M/Bco Pres 5.8;Marco;;Prestige Design MD 70   Bco-Ant M/Bco;Ant M;;0.0;0.0
510.515.023;Marco 72 Prestige Design MD 70   Mar-Black S/B Pres 5.8;Marco;;Prestige Design MD 70   Mar-Black S/B;Prestige Design MD 70   Mar-Black S/B;;0.0;0.0
510.515.024;Marco 72 Prestige Design MD 70   Bco-Bco/Black Pres 5.8;Marco;;Prestige Design MD 70   Bco-Bco/Black;Blanco;;0.0;0.0
510.515.027;Marco 72 Prestige Design MD 70   Bco-Black S/B Pres 5.8;Marco;;Prestige Design MD 70   Bco-Black S/B;Blanco;;0.0;0.0
510.515.003;Marco 72 Prestige Design MD 70   Mar-Nut/Nut  Pres 5.8;Marco;;Prestige Design MD 70   Mar-Nut/Nut;Nutmeg;;0.0;0.0
510.515.004;Marco 72 Prestige Design MD 70   Bco-Bco/Nut  Pres 5.8;Marco;;Prestige Design MD 70   Bco-Bco/Nut;Nutmeg;;0.0;0.0
510.515.008;Marco 72 Prestige Design MD 70   Bco-Nut/Bco  Pres 5.8;Marco;;Prestige Design MD 70   Bco-Nut/Bco;Nutmeg;;0.0;0.0
510.515.009;Marco 72 Prestige Design MD 70   Mar-Qrz/Qrz  Pres 5.8;Marco;;Prestige Design MD 70   Mar-Qrz/Qrz;Prestige Design MD 70   Mar-Qrz/Qrz;;0.0;0.0
510.515.010;Marco 72 Prestige Design MD 70   Bco-Bco/Qrz  Pres 5.8;Marco;;Prestige Design MD 70   Bco-Bco/Qrz;Blanco;;0.0;0.0
510.515.011;Marco 72 Prestige Design MD 70   Bco-Qrz/Bco  Pres 5.8;Marco;;Prestige Design MD 70   Bco-Qrz/Bco;Blanco;;0.0;0.0
500.525.100;Poste travesano 104 Prestige MD70 Blanco Pres 5.8;Poste travesano;;Prestige MD70 Blanco;Prestige MD70 Blanco;;0.0;0.0
510.525.049;Poste travesano 104 Prestige MD70 Mar-Rob/Rob Pres 5.8;Poste travesano;;Prestige MD70 Mar-Rob/Rob;Roble;;0.0;0.0
510.525.048;Poste travesano 104 Prestige MD70 Bco-Bco/Rob Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Rob;Roble;;0.0;0.0
510.525.060;Poste travesano 104 Prestige MD70 Bco-Rob/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Rob/Bco;Roble;;0.0;0.0
510.525.033;Poste travesano 104 Prestige MD70 Mar-Ant L/Ant L Pres 5.8;Poste travesano;;Prestige MD70 Mar-Ant L/Ant L;Ant L;;0.0;0.0
510.525.030;Poste travesano 104 Prestige MD70 Bco-Bco/Ant L Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Ant L;Ant L;;0.0;0.0
510.525.036;Poste travesano 104 Prestige MD70 Bco-Ant L/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Ant L/Bco;Ant L;;0.0;0.0
510.525.055;Poste travesano 104 Prestige MD70 Mar-B.Brow/B.Brow Pres 5.8;Poste travesano;;Prestige MD70 Mar-B.Brow/B.Brow;Black Brown;;0.0;0.0
510.525.054;Poste travesano 104 Prestige MD70 Bco-Bco/B.Brow Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/B.Brow;Black Brown;;0.0;0.0
510.525.053;Poste travesano 104 Prestige MD70 Bco-B.Brow/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-B.Brow/Bco;Black Brown;;0.0;0.0
510.525.046;Poste travesano 104 Prestige MD70 Mar-Nog/Nog Pres 5.8;Poste travesano;;Prestige MD70 Mar-Nog/Nog;Nogal;;0.0;0.0
510.525.047;Poste travesano 104 Prestige MD70 Bco-Bco/Nog Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Nog;Nogal;;0.0;0.0
510.525.045;Poste travesano 104 Prestige MD70 Bco-Nog/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Nog/Bco;Nogal;;0.0;0.0
510.525.043;Poste travesano 104 Prestige MD70 Mar-Win/Win Pres 5.8;Poste travesano;;Prestige MD70 Mar-Win/Win;Winchester;;0.0;0.0
510.525.044;Poste travesano 104 Prestige MD70 Bco-Bco/Win Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Win;Winchester;;0.0;0.0
510.525.042;Poste travesano 104 Prestige MD70 Bco-Win/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Win/Bco;Winchester;;0.0;0.0
510.525.026;Poste travesano 104 Prestige MD70 Mar-Mon/Mon Pres 5.8;Poste travesano;;Prestige MD70 Mar-Mon/Mon;Monument;;0.0;0.0
510.525.025;Poste travesano 104 Prestige MD70 Bco-Bco/Mon Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Mon;Monument;;0.0;0.0
510.525.024;Poste travesano 104 Prestige MD70 Bco-Mon/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Mon/Bco;Monument;;0.0;0.0
510.525.020;Poste travesano 104 Prestige MD70 Mar-Neg M./Neg M. Pres 5.8;Poste travesano;;Prestige MD70 Mar-Neg M./Neg M.;Prestige MD70 Mar-Neg M./Neg M.;;0.0;0.0
510.525.015;Poste travesano 104 Prestige MD70 Bco-Bco/Neg M. Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Neg M.;Blanco;;0.0;0.0
510.525.014;Poste travesano 104 Prestige MD70 Bco-Neg M./Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Neg M./Bco;Blanco;;0.0;0.0
510.525.080;Poste travesano 104 Prestige MD70 Mar-Turn/Turn Pres 5.8;Poste travesano;;Prestige MD70 Mar-Turn/Turn;Turner;;0.0;0.0
510.525.079;Poste travesano 104 Prestige MD70 Bco-Bco/Turn Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Turn;Turner;;0.0;0.0
510.525.078;Poste travesano 104 Prestige MD70 Bco-Turn/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Turn/Bco;Turner;;0.0;0.0
510.525.076;Poste travesano 104 Prestige MD70 Bco-Sheff A./Sheff A. Pres 5.8;Poste travesano;;Prestige MD70 Bco-Sheff A./Sheff A.;Sheffield;;0.0;0.0
510.525.075;Poste travesano 104 Prestige MD70 Bco-Bco/Sheff A. Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Sheff A.;Sheffield;;0.0;0.0
510.525.074;Poste travesano 104 Prestige MD70 Bco-Sheff A./Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Sheff A./Bco;Sheffield;;0.0;0.0
510.525.072;Poste travesano 104 Prestige MD70 Mar-Hab/Hab Pres 5.8;Poste travesano;;Prestige MD70 Mar-Hab/Hab;Habano;;0.0;0.0
510.525.071;Poste travesano 104 Prestige MD70 Bco-Bco/Hab Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Hab;Habano;;0.0;0.0
510.525.070;Poste travesano 104 Prestige MD70 Bco-Hab/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Hab/Bco;Habano;;0.0;0.0
510.525.066;Poste travesano 104 Prestige MD70 Mar-Tit/Tit Pres 5.8;Poste travesano;;Prestige MD70 Mar-Tit/Tit;Titanium;;0.0;0.0
510.525.065;Poste travesano 104 Prestige MD70 Bco-Bco/Tit Pres 5.8;Poste travesano;;Prestige MD70 Bco-Bco/Tit;Titanium;;0.0;0.0
510.525.064;Poste travesano 104 Prestige MD70 Bco-Tit/Bco Pres 5.8;Poste travesano;;Prestige MD70 Bco-Tit/Bco;Titanium;;0.0;0.0
510.525.010;Poste travesano 104 Prestige MD70  Mar-Ant M/Ant Pres 5.8;Poste travesano;;Prestige MD70  Mar-Ant M/Ant;Ant M;;0.0;0.0
510.525.011;Poste travesano 104 Prestige MD70  Bco-Bco/Ant M Pres 5.8;Poste travesano;;Prestige MD70  Bco-Bco/Ant M;Ant M;;0.0;0.0
510.525.012;Poste travesano 104 Prestige MD70  Bco-Ant M/Bco Pres 5.8;Poste travesano;;Prestige MD70  Bco-Ant M/Bco;Ant M;;0.0;0.0
510.525.013;Poste travesano 104 Prestige MD70  Mar-Black S/B Pres 5.8;Poste travesano;;Prestige MD70  Mar-Black S/B;Prestige MD70  Mar-Black S/B;;0.0;0.0
510.525.021;Poste travesano 104 Prestige MD70  Bco-Bco/Black Pres 5.8;Poste travesano;;Prestige MD70  Bco-Bco/Black;Blanco;;0.0;0.0
510.525.023;Poste travesano 104 Prestige MD70  Bco-Black S/B Pres 5.8;Poste travesano;;Prestige MD70  Bco-Black S/B;Blanco;;0.0;0.0
510.525.001;Poste travesano 104 Prestige MD70  Mar-Nut/Nut  Pres 5.8;Poste travesano;;Prestige MD70  Mar-Nut/Nut;Nutmeg;;0.0;0.0
510.525.002;Poste travesano 104 Prestige MD70  Bco-Bco/Nut  Pres 5.8;Poste travesano;;Prestige MD70  Bco-Bco/Nut;Nutmeg;;0.0;0.0
510.525.003;Poste travesano 104 Prestige MD70  Bco-Nut/Bco  Pres 5.8;Poste travesano;;Prestige MD70  Bco-Nut/Bco;Nutmeg;;0.0;0.0
510.525.004;Poste travesano 104 Prestige MD70  Mar-Qrz/Qrz  Pres 5.8;Poste travesano;;Prestige MD70  Mar-Qrz/Qrz;Prestige MD70  Mar-Qrz/Qrz;;0.0;0.0
510.525.008;Poste travesano 104 Prestige MD70  Bco-Bco/Qrz  Pres 5.8;Poste travesano;;Prestige MD70  Bco-Bco/Qrz;Blanco;;0.0;0.0
510.525.009;Poste travesano 104 Prestige MD70  Bco-Qrz/Bco  Pres 5.8;Poste travesano;;Prestige MD70  Bco-Qrz/Bco;Blanco;;0.0;0.0
500.505.100;Hoja Z60 Prestige MD70 Blanco Pres 5.8;Hoja Z;;Prestige MD70 Blanco;Prestige MD70 Blanco;;0.0;0.0
510.505.049;Hoja Z60 Prestige MD70 Mar-Rob/Rob Pres 5.8;Hoja Z;;Prestige MD70 Mar-Rob/Rob;Roble;;0.0;0.0
510.505.048;Hoja Z60 Prestige MD70 Bco-Bco/Rob Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Rob;Roble;;0.0;0.0
510.505.060;Hoja Z60 Prestige MD70 Bco-Rob/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Rob/Bco;Roble;;0.0;0.0
510.505.033;Hoja Z60 Prestige MD70 Mar-Ant L/Ant L Pres 5.8;Hoja Z;;Prestige MD70 Mar-Ant L/Ant L;Ant L;;0.0;0.0
510.505.030;Hoja Z60 Prestige MD70 Bco-Bco/Ant L Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Ant L;Ant L;;0.0;0.0
510.505.036;Hoja Z60 Prestige MD70 Bco-Ant L/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Ant L/Bco;Ant L;;0.0;0.0
510.505.055;Hoja Z60 Prestige MD70 Mar-B.Brow/B.Brow Pres 5.8;Hoja Z;;Prestige MD70 Mar-B.Brow/B.Brow;Black Brown;;0.0;0.0
510.505.054;Hoja Z60 Prestige MD70 Bco-Bco/B.Brow Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/B.Brow;Black Brown;;0.0;0.0
510.505.053;Hoja Z60 Prestige MD70 Bco-B.Brow/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-B.Brow/Bco;Black Brown;;0.0;0.0
510.505.046;Hoja Z60 Prestige MD70 Mar-Nog/Nog Pres 5.8;Hoja Z;;Prestige MD70 Mar-Nog/Nog;Nogal;;0.0;0.0
510.505.047;Hoja Z60 Prestige MD70 Bco-Bco/Nog Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Nog;Nogal;;0.0;0.0
510.505.045;Hoja Z60 Prestige MD70 Bco-Nog/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Nog/Bco;Nogal;;0.0;0.0
510.505.043;Hoja Z60 Prestige MD70 Mar-Win/Win Pres 5.8;Hoja Z;;Prestige MD70 Mar-Win/Win;Winchester;;0.0;0.0
510.505.044;Hoja Z60 Prestige MD70 Bco-Bco/Win Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Win;Winchester;;0.0;0.0
510.505.042;Hoja Z60 Prestige MD70 Bco-Win/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Win/Bco;Winchester;;0.0;0.0
510.505.026;Hoja Z60 Prestige MD70 Mar-Mon/Mon Pres 5.8;Hoja Z;;Prestige MD70 Mar-Mon/Mon;Monument;;0.0;0.0
510.505.025;Hoja Z60 Prestige MD70 Bco-Bco/Mon Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Mon;Monument;;0.0;0.0
510.505.024;Hoja Z60 Prestige MD70 Bco-Mon/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Mon/Bco;Monument;;0.0;0.0
510.505.020;Hoja Z60 Prestige MD70 Mar-Neg M./Neg M. Pres 5.8;Hoja Z;;Prestige MD70 Mar-Neg M./Neg M.;Prestige MD70 Mar-Neg M./Neg M.;;0.0;0.0
510.505.015;Hoja Z60 Prestige MD70 Bco-Bco/Neg M. Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Neg M.;Blanco;;0.0;0.0
510.505.014;Hoja Z60 Prestige MD70 Bco-Neg M./Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Neg M./Bco;Blanco;;0.0;0.0
510.505.080;Hoja Z60 Prestige MD70 Mar-Turn/Turn Pres 5.8;Hoja Z;;Prestige MD70 Mar-Turn/Turn;Turner;;0.0;0.0
510.505.079;Hoja Z60 Prestige MD70 Bco-Bco/Turn Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Turn;Turner;;0.0;0.0
510.505.078;Hoja Z60 Prestige MD70 Bco-Turn/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Turn/Bco;Turner;;0.0;0.0
510.505.076;Hoja Z60 Prestige MD70 Bco-Sheff A./Sheff A. Pres 5.8;Hoja Z;;Prestige MD70 Bco-Sheff A./Sheff A.;Sheffield;;0.0;0.0
510.505.075;Hoja Z60 Prestige MD70 Bco-Bco/Sheff A. Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Sheff A.;Sheffield;;0.0;0.0
510.505.074;Hoja Z60 Prestige MD70 Bco-Sheff A./Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Sheff A./Bco;Sheffield;;0.0;0.0
510.505.072;Hoja Z60 Prestige MD70 Mar-Hab/Hab Pres 5.8;Hoja Z;;Prestige MD70 Mar-Hab/Hab;Habano;;0.0;0.0
510.505.071;Hoja Z60 Prestige MD70 Bco-Bco/Hab Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Hab;Habano;;0.0;0.0
510.505.070;Hoja Z60 Prestige MD70 Bco-Hab/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Hab/Bco;Habano;;0.0;0.0
510.505.066;Hoja Z60 Prestige MD70 Mar-Tit/Tit Pres 5.8;Hoja Z;;Prestige MD70 Mar-Tit/Tit;Titanium;;0.0;0.0
510.505.065;Hoja Z60 Prestige MD70 Bco-Bco/Tit Pres 5.8;Hoja Z;;Prestige MD70 Bco-Bco/Tit;Titanium;;0.0;0.0
510.505.064;Hoja Z60 Prestige MD70 Bco-Tit/Bco Pres 5.8;Hoja Z;;Prestige MD70 Bco-Tit/Bco;Titanium;;0.0;0.0
510.505.011;Hoja Z60 Prestige MD70  Mar-Ant M/Ant Pres 5.8;Hoja Z;;Prestige MD70  Mar-Ant M/Ant;Ant M;;0.0;0.0
510.505.012;Hoja Z60 Prestige MD70  Bco-Bco/Ant M Pres 5.8;Hoja Z;;Prestige MD70  Bco-Bco/Ant M;Ant M;;0.0;0.0
510.505.013;Hoja Z60 Prestige MD70  Bco-Ant M/Bco Pres 5.8;Hoja Z;;Prestige MD70  Bco-Ant M/Bco;Ant M;;0.0;0.0
510.505.021;Hoja Z60 Prestige MD70  Mar-Black S/B Pres 5.8;Hoja Z;;Prestige MD70  Mar-Black S/B;Prestige MD70  Mar-Black S/B;;0.0;0.0
510.505.023;Hoja Z60 Prestige MD70  Bco-Bco/Black Pres 5.8;Hoja Z;;Prestige MD70  Bco-Bco/Black;Blanco;;0.0;0.0
510.505.027;Hoja Z60 Prestige MD70  Bco-Black S/B Pres 5.8;Hoja Z;;Prestige MD70  Bco-Black S/B;Blanco;;0.0;0.0
510.505.002;Hoja Z60 Prestige MD70  Mar-Nut/Nut  Pres 5.8;Hoja Z;;Prestige MD70  Mar-Nut/Nut;Nutmeg;;0.0;0.0
510.505.003;Hoja Z60 Prestige MD70  Bco-Bco/Nut  Pres 5.8;Hoja Z;;Prestige MD70  Bco-Bco/Nut;Nutmeg;;0.0;0.0
510.505.004;Hoja Z60 Prestige MD70  Bco-Nut/Bco  Pres 5.8;Hoja Z;;Prestige MD70  Bco-Nut/Bco;Nutmeg;;0.0;0.0
510.505.008;Hoja Z60 Prestige MD70  Mar-Qrz/Qrz  Pres 5.8;Hoja Z;;Prestige MD70  Mar-Qrz/Qrz;Prestige MD70  Mar-Qrz/Qrz;;0.0;0.0
510.505.009;Hoja Z60 Prestige MD70  Bco-Bco/Qrz  Pres 5.8;Hoja Z;;Prestige MD70  Bco-Bco/Qrz;Blanco;;0.0;0.0
510.505.010;Hoja Z60 Prestige MD70  Bco-Qrz/Bco  Pres 5.8;Hoja Z;;Prestige MD70  Bco-Qrz/Bco;Blanco;;0.0;0.0
